"Postcode","Total","Males","Females","Occupied_Households"
"AL1 1AG",14,6,8,6
"AL1 1AJ",124,60,64,51
"AL1 1AR",32,17,15,17
"AL1 1AS",34,17,17,13
"AL1 1BH",52,15,37,41
"AL1 1BX",54,26,28,19
"AL1 1BY",18,9,9,5
"AL1 1BZ",18,11,7,12
"AL1 1DG",24,10,14,8
"AL1 1DH",33,18,15,18
"AL1 1DQ",9,7,2,5
"AL1 1DS",8,2,6,2
"AL1 1DU",81,45,36,27
"AL1 1DW",12,7,5,5
"AL1 1DX",19,9,10,6
"AL1 1DZ",7,4,3,3
"AL1 1EA",63,32,31,19
"AL1 1EB",4,1,3,1
"AL1 1EE",10,5,5,4
"AL1 1ER",2,2,0,1
"AL1 1EU",7,5,2,4
"AL1 1EZ",1,1,0,0
"AL1 1HA",17,9,8,7
"AL1 1HB",3,1,2,2
"AL1 1HF",51,27,24,23
"AL1 1HH",4,3,1,2
"AL1 1HL",8,4,4,3
"AL1 1HN",20,10,10,9
"AL1 1HP",9,5,4,2
"AL1 1HQ",6,4,2,5
"AL1 1HR",18,8,10,12
"AL1 1HU",16,8,8,5
"AL1 1HW",102,46,56,40
"AL1 1HY",51,23,28,16
"AL1 1JA",15,6,9,6
"AL1 1JE",33,19,14,16
"AL1 1JG",1,1,0,1
"AL1 1JH",16,10,6,5
"AL1 1JJ",71,33,38,22
"AL1 1JL",56,27,29,19
"AL1 1JN",17,11,6,6
"AL1 1JP",63,28,35,26
"AL1 1JQ",50,31,19,22
"AL1 1JR",30,14,16,14
"AL1 1JS",56,29,27,28
"AL1 1JT",25,12,13,8
"AL1 1JU",14,9,5,9
"AL1 1JW",40,20,20,15
"AL1 1LA",23,9,14,11
"AL1 1LB",93,52,41,51
"AL1 1LE",6,5,1,2
"AL1 1LJ",7,2,5,3
"AL1 1LS",16,5,11,7
"AL1 1LT",23,9,14,14
"AL1 1LZ",4,2,2,3
"AL1 1NB",65,32,33,34
"AL1 1ND",24,11,13,15
"AL1 1NE",51,26,25,25
"AL1 1NF",103,54,49,45
"AL1 1NG",27,13,14,12
"AL1 1NH",18,9,9,9
"AL1 1NJ",9,5,4,4
"AL1 1NL",24,12,12,14
"AL1 1NN",8,5,3,6
"AL1 1NQ",1,1,0,1
"AL1 1NU",28,15,13,17
"AL1 1NX",39,22,17,23
